asciiname	frequency
Al Farsh	{'regex': '(Al\\ Farsh|31\\.40837|34\\.33784|8051607|Al\\ Farsh|Al\\ Farsh,alfrsh,الفرش)', 'count': 0}
Umm al 'Azban	"{'regex': ""(Umm\\ al\\ 'Azban|31\\.40451|34\\.33887|8051608|Umm\\ al\\ ‘Azbān|Umm\\ al\\ `Azban,Umm\\ al\\ ‘Azbān,أم\\ العزبان)"", 'count': 0}"
Abu 'Arif	"{'regex': ""(Abu\\ 'Arif|31\\.4084|34\\.35001|8051609|Abū\\ ‘Arīf|Abu\\ `Arif,Abū\\ ‘Arīf,أبو\\ عريف)"", 'count': 0}"
Bisharah	{'regex': '(Bisharah|31\\.41618|34\\.34433|8051610|Bishārah|Bisharah,Bishārah,bshart,بشارة)', 'count': 0}
Qa'ud	"{'regex': ""(Qa'ud|31\\.41822|34\\.34701|8051611|Qā‘ūd|Qa`ud,Qā‘ūd,قاعود)"", 'count': 0}"
Al Baldah al Qadimah	{'regex': '(Al\\ Baldah\\ al\\ Qadimah|31\\.41869|34\\.3521|8051612|Al\\ Baldah\\ al\\ Qadīmah|Al\\ Baldah\\ al\\ Qadimah,Al\\ Baldah\\ al\\ Qadīmah,albldt\\ alqdymt,البلدة\\ القديمة)', 'count': 0}
Al Mu'askar	"{'regex': ""(Al\\ Mu'askar|31\\.34889|34\\.29758|8051618|Al\\ Mu‘askar|Al\\ Mu`askar,Al\\ Mu‘askar,المعسكر)"", 'count': 0}"
Ash Shaykh Nasir	{'regex': '(Ash\\ Shaykh\\ Nasir|31\\.34182|34\\.31381|8051624|Ash\\ Shaykh\\ Nāşir|Ash\\ Shaykh\\ Nasir,Ash\\ Shaykh\\ Nāşir,alshykh\\ nasr,الشيخ\\ ناصر)', 'count': 0}
Markaz al Madinah	{'regex': '(Markaz\\ al\\ Madinah|31\\.344|34\\.30485|8051625|Markaz\\ al\\ Madīnah|Markaz\\ al\\ Madinah,Markaz\\ al\\ Madīnah,mrkz\\ almdynt,مركز\\ المدينة)', 'count': 0}
Batn as Samin	{'regex': '(Batn\\ as\\ Samin|31\\.34087|34\\.2983|8051626|Baţn\\ as\\ Samīn|Batn\\ as\\ Samin,Baţn\\ as\\ Samīn,btn\\ alsmyn,بطن\\ السمين)', 'count': 0}
Jurat al Lut	{'regex': '(Jurat\\ al\\ Lut|31\\.33508|34\\.30617|8051627|Jūrat\\ al\\ Lūt|Jurat\\ al\\ Lut,Jūrat\\ al\\ Lūt,jwrt\\ allwt,جورة\\ اللوت)', 'count': 0}
Ma'n	"{'regex': ""(Ma'n|31\\.33417|34\\.31609|8051628|Ma‘n|Ma`n,Ma‘n,معن)"", 'count': 0}"
Qa' al Qarin	"{'regex': ""(Qa'\\ al\\ Qarin|31\\.328|34\\.31996|8051629|Qā‘\\ al\\ Qarīn|Qa`\\ al\\ Qarin,Qā‘\\ al\\ Qarīn,قاع\\ القرين)"", 'count': 0}"
Al Manarah	{'regex': '(Al\\ Manarah|31\\.32903|34\\.31283|8051630|Al\\ Manārah|Al\\ Manarah,Al\\ Manārah,almnart,المنارة)', 'count': 0}
Qizan	{'regex': '(Qizan|31\\.33516|34\\.29229|8051631|Qīzān|Qizan,Qīzān,qyzan,قيزان)', 'count': 1}
Abu Rashwan	{'regex': '(Abu\\ Rashwan|31\\.3281|34\\.2841|8051632|Abū\\ Rashwān|Abu\\ Rashwan,Abū\\ Rashwān,abw\\ rshwan,أبو\\ رشوان)', 'count': 0}
Hijazi	{'regex': '(Hijazi|31\\.2933|34\\.24482|8051669|Ḩijāzī|Hijazi,hjazy,حجازي,Ḩijāzī)', 'count': 27}
Tall az Zu'rub	"{'regex': ""(Tall\\ az\\ Zu'rub|31\\.28975|34\\.24557|8051670|Tall\\ az\\ Zu‘rub|Tall\\ az\\ Zu`rub,Tall\\ az\\ Zu‘rub,تل\\ الزعرب)"", 'count': 0}"
Hawd Ji	{'regex': '(Hawd\\ Ji|31\\.28805|34\\.24645|8051671|Ḩawḑ\\ Jī|Block\\ J,Hawd\\ Ji,hwd\\ jy,حوض\\ جي,Ḩawḑ\\ Jī)', 'count': 0}
Hawd Waw	{'regex': '(Hawd\\ Waw|31\\.28139|34\\.24972|8051672|Ḩawḑ\\ Wāw|Block\\ O,Hawd\\ Waw,hwd\\ waw,حوض\\ واو,Ḩawḑ\\ Wāw)', 'count': 0}
Yibna	{'regex': '(Yibna|31\\.2842|34\\.24819|8051673|Yibnā|Yibna,Yibnā,ybna,يبنا)', 'count': 0}
Qishtah	{'regex': '(Qishtah|31\\.27525|34\\.25036|8051674|Qishţah|Qishtah,Qishţah,qshtt,قشطة)', 'count': 0}
Al Barazil	{'regex': '(Al\\ Barazil|31\\.2721|34\\.25315|8051675|Al\\ Barāzīl|Al\\ Barazil,Al\\ Barāzīl,albrazyl,البرازيل)', 'count': 0}
As Salam	{'regex': '(As\\ Salam|31\\.26779|34\\.25668|8051676|As\\ Salām|As\\ Salam,As\\ Salām,alslam,السلام)', 'count': 0}
Al-Azhar University	{'regex': '(Al\\-Azhar\\ University|31\\.51528|34\\.43639|7870540|Al\\-Azhar\\ University\\ \\-\\ Gaza)', 'count': 7}
Al-Aqsa University	{'regex': '(Al\\-Aqsa\\ University|31\\.50444|34\\.43583|7870544|Al\\-Aqsa\\ University)', 'count': 6}
Bi'r Zawalan	"{'regex': ""(Bi'r\\ Zawalan|31\\.51667|34\\.43333|281069|Bi’r\\ Zawalān|Bi'r\\ Zawalan,Bi’r\\ Zawalān)"", 'count': 0}"
Bi'r Abu Thabit	"{'regex': ""(Bi'r\\ Abu\\ Thabit|31\\.28472|34\\.30917|281162|Bi’r\\ Abū\\ Thābit|Bi'r\\ Abu\\ Thabit,Bir\\ Abu\\ Thabet,Bi’r\\ Abū\\ Thābit)"", 'count': 0}"
Gaza	{'regex': '(Gaza|31\\.41667|34\\.33333|281132|Gaza\\ Strip|Banda\\ de\\ Gaza,Bande\\ de\\ Gaza,Bandenn\\ Gaza,Ciifol\\ Gaaza,Dai\\ Gaza,Dải\\ Gaza,Faixa\\ de\\ Gaza,Fasia\\ Gaza,Franja\\ de\\ Gaza,Franxa\\ de\\ Gaza,Fâșia\\ Gaza,Galue\\ Gaza,Galuë\\ Gaza,Gasageirin,Gasastroendin,Gasastrook,Gasaströndin,Gaza,Gaza\\ Sektoro,Gaza\\ Strip,Gaza\\ sektor,Gaza\\ tsoon,Gazaejy\\ Sektor,Gazai\\ oevezet,Gazako\\ zerrenda,Gazan\\ kaista,Gazan\\ sektor,Gazaremsan,Gazas\\ josla,Gazastreek,Gazastreifen,Gazastriben,Gazastripa,Gazastripen,Gazastrook,Gazayi\\ hatvac,Gazos\\ Ruozas,Gazos\\ Ruožas,Gazyn\\ zurvas,Gazze\\ Seridi,Gazze\\ Şeridi,Genting\\ Gaza,Gázai\\ övezet,Ivica\\ Gaza,Jalur\\ Gaza,Konna\\ Gasa,Lacinia\\ Gazetica,Listra\\ de\\ Gaza,Llain\\ Gaza,Lorida\\ tis\\ Gazas,Lurung\\ Gaza,Marinka\\ Gaza,Pasmo\\ Gazy,Piraso\\ ng\\ Gaza,Pojas\\ Gaza,Pojas\\ Gaze,Pásmo\\ Gazy,Qita`\\ Ghazzah,Qiţā`\\ Ghazzah,Qəzzə\\ zolağı,Raon\\ Ghasa,Raon\\ Ghàsa,Sektar\\ Gaza,Sektor\\ Gaza,Sektor\\ Gazi,Sirita\\ Xezeye,Straice\\ Gaza,Straih\\ Ghaza,Strefa\\ Gazy,Striscia\\ di\\ Gaza,Stráice\\ Gaza,Ukanda\\ wa\\ Gaza,Zirin\\ Gaza,chnwn\\ ka\\ sa,gaja\\ bhukhanda,gaja\\ jigu,gaja\\ patti,gajha\\ patti,gasa,gaza\\ de\\ qu,gaza\\ pati,gaza\\ patti,ghzh,jia\\ sha\\ de\\ dai,kacakkarai,nwar\\ ghzh,Şirîta\\ Xezeyê,Λωρίδα\\ της\\ Γάζας,Газæйы\\ Сектор,Газа\\ сектор,Газын\\ зурвас,Ивица\\ Газа,Појас\\ Газа,Појас\\ Газе,Сектар\\ Газа,Сектор\\ Газа,Сектор\\ Гази,Գազայի\\ հատված,עזה\\ פאס,רצועת\\ עזה,غزه,غزہ\\ کی\\ پٹی,قطاع\\ غزة,نوار\\ غزه,गाज़ा\\ पट्टी,गाजा\\ पट्टी,गाझा\\ पट्टी,গাজা\\ ভূখণ্ড,ਗਾਜ਼ਾ\\ ਪੱਟੀ,காசாக்கரை,ಗಾಜಾ\\ ಪಟ್ಟಿ,ഗാസ,ฉนวนกาซา,ສະໜວນກາຊາ,ღაზის\\ სექტორი,ដីជ្រោយហ្គាស្សា,ガザ地区,加沙地带,加沙地帶,가자\\ 지구)', 'count': 23136}
Gaza Strip	{'regex': '(Gaza\\ Strip|31\\.41667|34\\.33333|281132|Gaza\\ Strip|Banda\\ de\\ Gaza,Bande\\ de\\ Gaza,Bandenn\\ Gaza,Ciifol\\ Gaaza,Dai\\ Gaza,Dải\\ Gaza,Faixa\\ de\\ Gaza,Fasia\\ Gaza,Franja\\ de\\ Gaza,Franxa\\ de\\ Gaza,Fâșia\\ Gaza,Galue\\ Gaza,Galuë\\ Gaza,Gasageirin,Gasastroendin,Gasastrook,Gasaströndin,Gaza,Gaza\\ Sektoro,Gaza\\ Strip,Gaza\\ sektor,Gaza\\ tsoon,Gazaejy\\ Sektor,Gazai\\ oevezet,Gazako\\ zerrenda,Gazan\\ kaista,Gazan\\ sektor,Gazaremsan,Gazas\\ josla,Gazastreek,Gazastreifen,Gazastriben,Gazastripa,Gazastripen,Gazastrook,Gazayi\\ hatvac,Gazos\\ Ruozas,Gazos\\ Ruožas,Gazyn\\ zurvas,Gazze\\ Seridi,Gazze\\ Şeridi,Genting\\ Gaza,Gázai\\ övezet,Ivica\\ Gaza,Jalur\\ Gaza,Konna\\ Gasa,Lacinia\\ Gazetica,Listra\\ de\\ Gaza,Llain\\ Gaza,Lorida\\ tis\\ Gazas,Lurung\\ Gaza,Marinka\\ Gaza,Pasmo\\ Gazy,Piraso\\ ng\\ Gaza,Pojas\\ Gaza,Pojas\\ Gaze,Pásmo\\ Gazy,Qita`\\ Ghazzah,Qiţā`\\ Ghazzah,Qəzzə\\ zolağı,Raon\\ Ghasa,Raon\\ Ghàsa,Sektar\\ Gaza,Sektor\\ Gaza,Sektor\\ Gazi,Sirita\\ Xezeye,Straice\\ Gaza,Straih\\ Ghaza,Strefa\\ Gazy,Striscia\\ di\\ Gaza,Stráice\\ Gaza,Ukanda\\ wa\\ Gaza,Zirin\\ Gaza,chnwn\\ ka\\ sa,gaja\\ bhukhanda,gaja\\ jigu,gaja\\ patti,gajha\\ patti,gasa,gaza\\ de\\ qu,gaza\\ pati,gaza\\ patti,ghzh,jia\\ sha\\ de\\ dai,kacakkarai,nwar\\ ghzh,Şirîta\\ Xezeyê,Λωρίδα\\ της\\ Γάζας,Газæйы\\ Сектор,Газа\\ сектор,Газын\\ зурвас,Ивица\\ Газа,Појас\\ Газа,Појас\\ Газе,Сектар\\ Газа,Сектор\\ Газа,Сектор\\ Гази,Գազայի\\ հատված,עזה\\ פאס,רצועת\\ עזה,غزه,غزہ\\ کی\\ پٹی,قطاع\\ غزة,نوار\\ غزه,गाज़ा\\ पट्टी,गाजा\\ पट्टी,गाझा\\ पट्टी,গাজা\\ ভূখণ্ড,ਗਾਜ਼ਾ\\ ਪੱਟੀ,காசாக்கரை,ಗಾಜಾ\\ ಪಟ್ಟಿ,ഗാസ,ฉนวนกาซา,ສະໜວນກາຊາ,ღაზის\\ სექტორი,ដីជ្រោយហ្គាស្សា,ガザ地区,加沙地带,加沙地帶,가자\\ 지구)', 'count': 3176}
Gaza City	{'regex': '(Gaza\\ City|31\\.50161|34\\.46672|281133|Gaza\\ City|Azzah,Dakbayan\\ sa\\ Gaza,GZA,Gaesa,Gasa,Gaz,Gaza,Gaza\\ City,Gaza\\ by,Gaza\\-urbo,Gazae,Gazze,Ghazah,Ghazza,Ghazzah,Ghazze,Ghazzi,Ghuzze,Gàsa,Gáza,Qəzza,Xeze,`Azza,`Azzā,gaja,gaja\\ sahara,gaja\\ siti,gajha,gaza,gaza\\ sahira,ghzh,ghzt,jia\\ sa,jia\\ sha,jia\\ sha\\ cheng,kaca,Γάζα,Газa,Газæ,Газа,Газзә,Ղազա,עזה,غزة,غزه,غزہ,غەززە,ग़ज़ा,गाजा\\ शहर,गाझा,গাজা\\ সিটি,ਗ਼ਜ਼ਾ\\ ਸ਼ਹਿਰ,காசா,ガザ,加沙,加沙城,加薩,가자)', 'count': 909}
